湖南,#genre#
湖南卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225626/10000100000000060000000000000204_0.smil
湖南经视,rtsp://10.16.9.18/PLTV/88888888/224/3221225627/10000100000000060000000000000205_0.smil
湖南都市,rtsp://10.16.9.18/PLTV/88888888/224/3221225710/10000100000000060000000000097889_0.smil
湖南电视剧,rtsp://10.16.9.18/PLTV/88888888/224/3221225711/10000100000000060000000000097890_0.smil
湖南电影,rtsp://10.16.9.18/PLTV/88888888/224/3221225712/10000100000000060000000000097891_0.smil
金鹰卡通,rtsp://10.16.9.18/PLTV/88888888/224/3221225713/10000100000000060000000000097892_0.smil
湖南娱乐,rtsp://10.16.9.18/PLTV/88888888/224/3221225714/10000100000000060000000000097893_0.smil
金鹰纪实,rtsp://10.16.9.18/PLTV/88888888/224/3221225715/10000100000000060000000000097894_0.smil
湖南公共,rtsp://10.16.9.18/PLTV/88888888/224/3221225716/10000100000000060000000000097895_0.smil
湖南国际,rtsp://10.16.9.18/PLTV/88888888/224/3221225717/10000100000000060000000000097896_0.smil
湖南教育,rtsp://10.16.9.18/PLTV/88888888/224/3221225795/10000100000000060000000000447861_0.smil

央视,#genre#
CCTV-1,rtsp://10.16.9.18/PLTV/88888888/224/3221225628/10000100000000060000000000000206_0.smil
CCTV-2,rtsp://10.16.9.18/PLTV/88888888/224/3221225718/10000100000000060000000000097897_0.smil
CCTV-3,rtsp://10.16.9.18/PLTV/88888888/224/3221225719/10000100000000060000000000097898_0.smil
CCTV-4,rtsp://10.16.9.18/PLTV/88888888/224/3221225773/10000100000000060000000000305984_0.smil
CCTV-5,http://[2409:8087:4402:20:1:1216:401:35]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226305/index.m3u8
CCTV-5+,http://[2409:8087:4402:20:1:1216:401:12]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226609/index.m3u8
CCTV-6,rtsp://10.16.9.18/PLTV/88888888/224/3221225720/10000100000000060000000000097899_0.smil
CCTV-7,rtsp://10.16.9.18/PLTV/88888888/224/3221225721/10000100000000060000000000097900_0.smil
CCTV-8,rtsp://10.16.9.18/PLTV/88888888/224/3221225722/10000100000000060000000000097901_0.smil
CCTV-9,rtsp://10.16.9.18/PLTV/88888888/224/3221225723/10000100000000060000000000097902_0.smil
CCTV10,rtsp://10.16.9.18/PLTV/88888888/224/3221225724/10000100000000060000000000097903_0.smil
CCTV11,http://[2409:8087:4402:20:1:1216:401:44]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
CCTV12,rtsp://10.16.9.18/PLTV/88888888/224/3221225725/10000100000000060000000000097904_0.smil
CCTV13,rtsp://10.16.9.18/PLTV/88888888/224/3221225774/10000100000000060000000000305985_0.smil
CCTV14,rtsp://10.16.9.18/PLTV/88888888/224/3221225726/10000100000000060000000000097905_0.smil
CCTV15,http://[2409:8087:4402:20:1:1216:401:3d]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226590/index.m3u8
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/wh7f454c46tw456909575_2098882473/ott.mobaibox.com/PLTV/3/224/3221228144/index.m3u8
CCTV17,rtsp://10.16.9.18/PLTV/88888888/224/3221225803/10000100000000060000000000458239_0.smil
CETV-1,rtsp://10.16.9.18/PLTV/88888888/224/3221225782/10000100000000060000000000305998_0.smil
CETV-2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV-4,http://cntv.sbs/live?id=cetv4
CGTN新闻,rtsp://10.16.9.18/PLTV/88888888/224/3221225591/10000100000000060000000000000169_0.smil
CGTN发现,rtsp://10.16.9.18/PLTV/88888888/224/3221225592/10000100000000060000000000000170_0.smil

卫视,#genre#
黑龙江卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225490/10000100000000060000000000000141_0.smil
山东卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225491/10000100000000060000000000000140_0.smil
深圳卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225492/10000100000000060000000000000139_0.smil
东方卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225493/10000100000000060000000000000138_0.smil
天津卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225494/10000100000000060000000000000137_0.smil
北京卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225495/10000100000000060000000000000136_0.smil
江苏卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225497/10000100000000060000000000000134_0.smil
安徽卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225775/10000100000000060000000000305986_0.smil
辽宁卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225776/10000100000000060000000000305987_0.smil
东南卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225777/10000100000000060000000000305988_0.smil
广东卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225778/10000100000000060000000000305989_0.smil
湖北卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225779/10000100000000060000000000305990_0.smil
贵州卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225780/10000100000000060000000000305991_0.smil
河北卫视,rtsp://10.16.9.18/PLTV/88888888/224/3221225781/10000100000000060000000000305992_0.smil
浙江卫视,http://[2409:8087:4402:20:1:1216:401:38]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
重庆卫视,http://[2409:8087:4402:20:1:1216:401:15]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226676/index.m3u8
甘肃卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1a]/wh7f454c46tw1400573680_-1979013462/ott.mobaibox.com/PLTV/3/224/3221227568/index.m3u8
广西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw2325655923_1638953995/ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8
河南卫视,http://[2409:8087:4402:20:1:1216:401:41]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226639/index.m3u8
江西卫视,http://[2409:8087:4402:20:1:1216:401:3e]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226594/index.m3u8
吉林卫视,http://[2409:8087:4402:20:1:1216:401:15]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226684/index.m3u8
内蒙古卫视,http://[2409:8087:2001:20:2800:0:df6e:eb19]/wh7f454c46tw2228825807_1324573507/ott.mobaibox.com/PLTV/3/224/3221227557/index.m3u8
宁夏卫视,http://[2409:8087:2001:20:2800:0:df6e:eb06]/wh7f454c46tw2201703491_-1935318667/ott.mobaibox.com/PLTV/3/224/3221227563/index.m3u8
山西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb06]/wh7f454c46tw1574076400_-2066173512/ott.mobaibox.com/PLTV/3/224/3221227559/index.m3u8
陕西卫视,http://[2409:8087:2001:20:2800:0:df6e:eb1b]/wh7f454c46tw2360314992_451435426/ott.mobaibox.com/PLTV/3/224/3221227583/index.m3u8
四川卫视,http://[2409:8087:4402:20:1:1216:401:11]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226573/index.m3u8
三沙卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
云南卫视,http://[2409:8087:4402:20:1:1216:401:14]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226660/index.m3u8

数字,#genre#
CHC家庭影院,rtsp://10.16.9.18/PLTV/88888888/224/3221225808/10000100000000060000000000472552_0.smil
CHC高清电影,rtsp://10.16.9.18/PLTV/88888888/224/3221225809/10000100000000060000000000472553_0.smil
CHC动作电影,rtsp://10.16.9.18/PLTV/88888888/224/3221225810/10000100000000060000000000472554_0.smil
华数求索科学,http://[2409:8087:4402:20:1:1216:401:46]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226115/index.m3u8
